,false_positive_rate,true_positive_rate,thresholds
0,0.0,0.0,1
1,0.0,0.0007067137809187279,0.99156016
2,0.0,0.0021201413427561835,0.9895981
3,0.0002892681515765114,0.0021201413427561835,0.98737705
4,0.0002892681515765114,0.021908127208480566,0.9715131
5,0.0002892681515765114,0.02402826855123675,0.9713499
6,0.0002892681515765114,0.051590106007067135,0.9585193
7,0.0005785363031530228,0.051590106007067135,0.9583727
8,0.0005785363031530228,0.059363957597173146,0.9550317
9,0.0005785363031530228,0.06148409893992933,0.9547547
10,0.0005785363031530228,0.07420494699646643,0.94898856
11,0.0008678044547295343,0.07420494699646643,0.94855577
12,0.0008678044547295343,0.09823321554770319,0.9336648
13,0.0011570726063060456,0.09823321554770319,0.9333873
14,0.0011570726063060456,0.14416961130742048,0.90921897
15,0.0011570726063060456,0.14558303886925794,0.90853757
16,0.0011570726063060456,0.1625441696113074,0.8995857
17,0.0014463407578825572,0.1625441696113074,0.8993785
18,0.0014463407578825572,0.16395759717314487,0.89856684
19,0.0017356089094590686,0.16395759717314487,0.8980112
20,0.0017356089094590686,0.17031802120141343,0.8942763
21,0.0017356089094590686,0.1717314487632509,0.89413786
22,0.0017356089094590686,0.18445229681978798,0.8879959
23,0.0017356089094590686,0.18657243816254418,0.8876961
24,0.0017356089094590686,0.2,0.8788773
25,0.0023141452126120912,0.2,0.8769205
26,0.0023141452126120912,0.20070671378091873,0.8768244
27,0.0026034133641886026,0.20070671378091873,0.8756553
28,0.0026034133641886026,0.21696113074204948,0.8620511
29,0.0028926815157651145,0.21696113074204948,0.86124927
30,0.0028926815157651145,0.2275618374558304,0.8511726
31,0.003181949667341626,0.2275618374558304,0.8509408
32,0.003181949667341626,0.24028268551236748,0.84102565
33,0.0034712178189181373,0.24028268551236748,0.8405771
34,0.0034712178189181373,0.24593639575971732,0.8373291
35,0.0037604859704946487,0.24593639575971732,0.8370613
36,0.0037604859704946487,0.2530035335689046,0.8335818
37,0.00404975412207116,0.2530035335689046,0.83285886
38,0.00404975412207116,0.25865724381625443,0.8305828
39,0.004339022273647671,0.25865724381625443,0.8303835
40,0.004339022273647671,0.2742049469964664,0.81832516
41,0.0046282904252241824,0.2742049469964664,0.81814563
42,0.0046282904252241824,0.2855123674911661,0.8052139
43,0.004917558576800694,0.2855123674911661,0.80360097
44,0.004917558576800694,0.28692579505300353,0.80344105
45,0.005206826728377205,0.28692579505300353,0.8030367
46,0.005206826728377205,0.29257950530035337,0.79792386
47,0.0054960948799537175,0.29257950530035337,0.79770637
48,0.0054960948799537175,0.29752650176678447,0.793742
49,0.005785363031530229,0.29752650176678447,0.7914367
50,0.005785363031530229,0.3088339222614841,0.7826508
51,0.00607463118310674,0.3088339222614841,0.78238785
52,0.00607463118310674,0.3137809187279152,0.7790642
53,0.00607463118310674,0.3151943462897526,0.7789244
54,0.00607463118310674,0.31802120141342755,0.77697545
55,0.006363899334683252,0.31802120141342755,0.77620137
56,0.006363899334683252,0.3342756183745583,0.76204765
57,0.006653167486259763,0.3342756183745583,0.7614493
58,0.006653167486259763,0.3399293286219081,0.75669444
59,0.0069424356378362745,0.3399293286219081,0.7560895
60,0.0069424356378362745,0.34275618374558303,0.7538091
61,0.007231703789412786,0.34275618374558303,0.7537598
62,0.007231703789412786,0.3469964664310954,0.7513983
63,0.007810240092565809,0.3469964664310954,0.7492776
64,0.007810240092565809,0.3484098939929329,0.74876446
65,0.00809950824414232,0.3484098939929329,0.7484666
66,0.00809950824414232,0.3491166077738516,0.7482997
67,0.008388776395718832,0.3491166077738516,0.74736565
68,0.008388776395718832,0.3547703180212014,0.74274635
69,0.008678044547295342,0.3547703180212014,0.7426639
70,0.008678044547295342,0.3575971731448763,0.73942006
71,0.008967312698871854,0.3575971731448763,0.73825234
72,0.008967312698871854,0.35901060070671376,0.73783946
73,0.009256580850448365,0.35901060070671376,0.7376293
74,0.009256580850448365,0.3625441696113074,0.73209804
75,0.009835117153601388,0.3625441696113074,0.7312674
76,0.009835117153601388,0.3667844522968198,0.72816265
77,0.0101243853051779,0.3667844522968198,0.72790164
78,0.0101243853051779,0.3674911660777385,0.7255743
79,0.01041365345675441,0.3674911660777385,0.7251748
80,0.01041365345675441,0.37031802120141344,0.7240271
81,0.010702921608330923,0.37031802120141344,0.72381485
82,0.010702921608330923,0.3745583038869258,0.72039104
83,0.010992189759907435,0.3745583038869258,0.71906084
84,0.010992189759907435,0.37667844522968197,0.7177533
85,0.011281457911483946,0.37667844522968197,0.7176274
86,0.011281457911483946,0.37809187279151946,0.7167674
87,0.011570726063060458,0.37809187279151946,0.71544915
88,0.011570726063060458,0.38021201413427563,0.7140778
89,0.011859994214636968,0.38021201413427563,0.713387
90,0.011859994214636968,0.38162544169611307,0.7102498
91,0.01214926236621348,0.38162544169611307,0.71014845
92,0.01214926236621348,0.38515901060070673,0.7074541
93,0.012438530517789991,0.38515901060070673,0.7071346
94,0.012438530517789991,0.38657243816254416,0.7052224
95,0.013017066820943014,0.38657243816254416,0.70463645
96,0.013017066820943014,0.3901060070671378,0.702245
97,0.013306334972519526,0.3901060070671378,0.702136
98,0.013306334972519526,0.39151943462897526,0.70100826
99,0.014463407578825572,0.39151943462897526,0.69759357
100,0.014463407578825572,0.3950530035335689,0.69591016
101,0.014752675730402082,0.3950530035335689,0.69580436
102,0.014752675730402082,0.3957597173144876,0.6957606
103,0.015041943881978595,0.3957597173144876,0.6955945
104,0.015041943881978595,0.3971731448763251,0.6951126
105,0.015331212033555105,0.3971731448763251,0.69493717
