,false_positive_rate,true_positive_rate,thresholds
0,0.0,0.0,1.9911089
1,0.0,0.0007067137809187279,0.9911089
2,0.0,0.0035335689045936395,0.9826695
3,0.0002892681515765114,0.0035335689045936395,0.9825819
4,0.0002892681515765114,0.0734982332155477,0.9475899
5,0.0005785363031530228,0.0734982332155477,0.9474921
6,0.0005785363031530228,0.07561837455830389,0.9461511
7,0.0005785363031530228,0.09187279151943463,0.9403698
8,0.0005785363031530228,0.0939929328621908,0.9401496
9,0.0005785363031530228,0.10459363957597173,0.9365589
10,0.0005785363031530228,0.10600706713780919,0.9362928
11,0.0005785363031530228,0.1371024734982332,0.9249137
12,0.0005785363031530228,0.1392226148409894,0.9240489
13,0.0005785363031530228,0.1413427561837456,0.922475
14,0.0008678044547295343,0.1413427561837456,0.92236155
15,0.0008678044547295343,0.15123674911660778,0.91713876
16,0.0011570726063060456,0.15123674911660778,0.91655695
17,0.0011570726063060456,0.15406360424028268,0.9146503
18,0.0014463407578825572,0.15406360424028268,0.91391885
19,0.0014463407578825572,0.17597173144876324,0.9010765
20,0.0017356089094590686,0.17597173144876324,0.900922
21,0.0017356089094590686,0.18869257950530036,0.89592725
22,0.00202487706103558,0.18869257950530036,0.89572537
23,0.00202487706103558,0.20989399293286218,0.8834402
24,0.00202487706103558,0.21130742049469964,0.8823525
25,0.00202487706103558,0.24098939929328622,0.8646542
26,0.0023141452126120912,0.24098939929328622,0.8640812
27,0.0023141452126120912,0.25653710247349826,0.85422117
28,0.0026034133641886026,0.25653710247349826,0.8528094
29,0.0026034133641886026,0.26501766784452296,0.84792006
30,0.0028926815157651145,0.26501766784452296,0.8478988
31,0.0028926815157651145,0.28197879858657243,0.83951586
32,0.003181949667341626,0.28197879858657243,0.8385639
33,0.003181949667341626,0.30247349823321557,0.8257807
34,0.003181949667341626,0.303886925795053,0.8255041
35,0.003181949667341626,0.30459363957597174,0.82542884
36,0.0034712178189181373,0.30459363957597174,0.8251532
37,0.0034712178189181373,0.31095406360424027,0.8180197
38,0.0037604859704946487,0.31095406360424027,0.8169447
39,0.0037604859704946487,0.3201413427561837,0.8122298
40,0.00404975412207116,0.3201413427561837,0.81135416
41,0.00404975412207116,0.3434628975265018,0.7887149
42,0.004339022273647671,0.3434628975265018,0.7887102
43,0.004339022273647671,0.3491166077738516,0.78424704
44,0.0046282904252241824,0.3491166077738516,0.78419966
45,0.0046282904252241824,0.35406360424028266,0.7813643
46,0.004917558576800694,0.35406360424028266,0.78119385
47,0.004917558576800694,0.35547703180212015,0.78088367
48,0.005206826728377205,0.35547703180212015,0.7802698
49,0.005206826728377205,0.3597173144876325,0.77484894
50,0.0054960948799537175,0.3597173144876325,0.77468807
51,0.0054960948799537175,0.3646643109540636,0.77125466
52,0.005785363031530229,0.3646643109540636,0.7705016
53,0.005785363031530229,0.36819787985865726,0.76953393
54,0.00607463118310674,0.36819787985865726,0.76937723
55,0.00607463118310674,0.37385159010600705,0.7620246
56,0.006363899334683252,0.37385159010600705,0.76152503
57,0.006363899334683252,0.3745583038869258,0.76007754
58,0.006653167486259763,0.3745583038869258,0.75975114
59,0.006653167486259763,0.3795053003533569,0.7549484
60,0.006653167486259763,0.38162544169611307,0.75413316
61,0.007231703789412786,0.38162544169611307,0.7536493
62,0.007231703789412786,0.3823321554770318,0.75333846
63,0.007520971940989297,0.3823321554770318,0.7527446
64,0.007520971940989297,0.3943462897526502,0.738957
65,0.007810240092565809,0.3943462897526502,0.7382461
66,0.007810240092565809,0.4056537102473498,0.73329866
67,0.00809950824414232,0.4056537102473498,0.7313568
68,0.00809950824414232,0.4120141342756184,0.7289252
69,0.008388776395718832,0.4120141342756184,0.72887087
70,0.008388776395718832,0.41413427561837457,0.7255889
71,0.009256580850448365,0.41413427561837457,0.72367024
72,0.009256580850448365,0.4183745583038869,0.7176305
73,0.009545849002024877,0.4183745583038869,0.7175993
74,0.009545849002024877,0.4204946996466431,0.71596426
75,0.009835117153601388,0.4204946996466431,0.7159026
76,0.009835117153601388,0.42473498233215545,0.7148024
77,0.0101243853051779,0.42473498233215545,0.7137172
78,0.0101243853051779,0.42614840989399294,0.71260536
79,0.01041365345675441,0.42614840989399294,0.7112932
80,0.01041365345675441,0.4275618374558304,0.71062577
81,0.01041365345675441,0.42897526501766786,0.709978
82,0.01041365345675441,0.4303886925795053,0.7094481
83,0.010702921608330923,0.4303886925795053,0.7081251
84,0.010702921608330923,0.43109540636042404,0.7080688
85,0.010992189759907435,0.43109540636042404,0.70594835
86,0.010992189759907435,0.4332155477031802,0.70552063
87,0.011281457911483946,0.4332155477031802,0.70539486
88,0.011281457911483946,0.43392226148409896,0.7041448
89,0.011570726063060458,0.43392226148409896,0.7039758
90,0.011570726063060458,0.4381625441696113,0.70033866
91,0.011859994214636968,0.4381625441696113,0.700158
92,0.011859994214636968,0.43886925795053006,0.6989813
93,0.01214926236621348,0.43886925795053006,0.6986407
94,0.01214926236621348,0.45936395759717313,0.6851612
95,0.012438530517789991,0.45936395759717313,0.6845276
96,0.012438530517789991,0.4628975265017668,0.68080646
97,0.012727798669366503,0.4628975265017668,0.680737
98,0.012727798669366503,0.4657243816254417,0.67817193
99,0.013017066820943014,0.4657243816254417,0.6776271
100,0.013017066820943014,0.4664310954063604,0.6772004
101,0.013306334972519526,0.4664310954063604,0.6765431
102,0.013306334972519526,0.46925795053003533,0.67553294
103,0.013595603124096037,0.46925795053003533,0.6746929
104,0.013595603124096037,0.4706713780918728,0.67304975
105,0.01417413942724906,0.4706713780918728,0.6715663
